# units  | V     | mA    | V     | mA    | V     | mA    | V     | mA    | mA    |
#
#|name   |Vd1    |Id1    |Vd2    |Id2    |Vd3    |Id3    |Vd4    |Id4    |Ig     |
#|s      |r      |r      |r      |r      |r      |r      |r      |r      |r      |
rx1	    0.8 	3.0 	1.5 	5.0 	1.5 	5.0 	1.5 	5.0	    75.0
rx2	    1.2 	3.0 	1.5 	5.0 	1.5 	3.0 	1.5 	3.0	    81.0
rx3	    1.0 	3.0     1.5 	5.0 	1.5 	5.0 	1.5 	5.0	    77.0
rx5	    1.0 	3.0     1.5 	3.0 	1.5 	5.0 	1.5 	5.0	    75.0
rx6	    1.1 	2.0 	1.2 	3.0 	1.5 	3.0 	1.5 	5.0	    75.0
rx7	    1.0 	3.0 	1.5 	5.0 	1.5 	5.0 	1.5 	5.0	    74.0
rx8	    1.0 	3.0 	1.5 	5.0 	1.5 	5.0 	1.5 	5.0 	73.0
rx10	1.0 	3.0 	1.5 	3.0 	1.5 	3.0 	1.5 	3.0	    74.0
rx12	1.0 	3.0 	1.0 	7.0 	1.0 	5.0 	1.5 	5.0	    75.0
rx13    1.0     3.0     1.5     5.0     1.5     5.0     1.5     5.0     81.0    
